;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
96;3508504;Caçapava;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;32381;R$ 4.562.951.102;209.0
97;3508603;Cachoeira Paulista;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;18893;R$ 635.940.220;392.0
98;3508702;Caconde;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;17286;R$ 477.006.124;125.0
99;3508801;Cafelândia;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;4104;R$ 614.590.060;69.0
100;3508900;Caiabu;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;101748;R$ 67.985.490;74.0
101;3509007;Caieiras;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;5642;R$ 4.010.644.151;16.0
102;3509106;Caiuá;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;78786;R$ 88.898.533;416.0
103;3509205;Cajamar;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;29116;R$ 20.798.646.107;14.0
104;3509254;Cajati;Região Administrativa de Registro;Outros municípios do Estado de São Paulo;10124;R$ 1.594.151.938;452.0
105;3509304;Cajobi;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;25850;R$ 171.372.573;119.0
106;3509403;Cajuru;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;5832;R$ 691.971.958;29.0
107;3509452;Campina do Monte Alegre;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;1181555;R$ 137.149.077;101.0
108;3509502;Campinas;Região Administrativa de Campinas;Região Metropolitana de Campinas;83530;R$ 65.419.716.816;24.0
109;3509601;Campo Limpo Paulista;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;50307;R$ 2.195.755.540;4.366
110;3509700;Campos do Jordão;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;4841;R$ 1.276.363.737;314.0
111;3509809;Campos Novos Paulista;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;12379;R$ 189.704.019;218.0
112;3509908;Cananéia;Região Administrativa de Registro;Outros municípios do Estado de São Paulo;5120;R$ 262.472.276;26.0
113;3509957;Canas;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;30010;R$ 112.954.843;53.0
114;3510005;Cândido Mota;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;2672;R$ 1.391.538.400;28.0
115;3510104;Cândido Rodrigues;Região Administrativa Central;Outros municípios do Estado de São Paulo;5051;R$ 110.266.045;111.0
116;3510153;Canitar;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;46521;R$ 157.316.779;8.0
117;3510203;Capão Bonito;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;20828;R$ 1.129.602.810;31.0
118;3510302;Capela do Alto;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;54686;R$ 339.377.683;220.0
119;3510401;Capivari;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;117090;R$ 2.400.351.215;101.0
120;3510500;Caraguatatuba;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;396447;R$ 3.889.990.988;222.0
121;3510609;Carapicuíba;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;11712;R$ 6.224.119.623;497.0
122;3510708;Cardoso;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;29549;R$ 299.674.576;1.891
123;3510807;Casa Branca;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;2486;R$ 1.053.662.373;27.0
124;3510906;Cássia dos Coqueiros;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;20937;R$ 254.623.337;86.0
